"  _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ","   wing1,_lift ","   wing1,_lift ","   wing2,_lift ","   wing2,_lift ","   wing3,_lift ","   wing3,_lift ","   wing1,_drag ","   wing1,_drag ","   wing2,_drag ","   wing2,_drag ","   wing3,_drag ","   wing3,_drag ", 
55.5252,58.56048,59.22144,59.19338,63.89726,68.15082,68.15082,10.11074,-1.48943,4.43936,-1.76388,-0.31517,-36.47903,-73.05162,976.65509,974.03021,0,969.69006,-36.5,-73,531.41028,520.28638,601.27155,600.74554,38.17555,44.35685,55.00566,52.66851,41.26419,40.8584,1.00291,1.26183, 
54.78163,58.13445,58.78915,58.74274,63.04157,67.65334,67.65335,10.17564,-1.44733,4.23858,-2.27684,-0.36168,-36.4789,-73.05161,974.97681,972.34839,0,968.63165,-36.5,-73,525.95099,515.12506,594.78674,594.26208,38.01727,43.91858,54.58648,52.32242,40.97085,40.61781,1.00362,1.25218, 
54.10098,57.79379,58.44275,58.36841,62.25829,67.25471,67.25471,10.23038,-1.35057,4.01583,-2.89012,-0.39137,-36.47876,-73.0516,972.76361,970.13141,0,967.21973,-36.5,-73,521.47717,511.24963,589.67664,589.20807,38.05272,43.42576,54.23296,52.08965,40.75071,40.43349,1.01081,1.23796, 
53.50058,57.5625,58.20645,58.09349,61.56737,66.98279,66.98279,10.26814,-1.24459,3.77962,-3.57019,-0.40496,-36.47863,-73.05158,969.9715,967.33533,0,965.38348,-36.5,-73,518.34937,508.76407,586.18774,585.81622,38.17373,42.99575,53.97738,51.94995,40.60896,40.30213,1.01985,1.22382, 
53.07914,57.45205,58.09196,57.93141,61.08238,66.85104,66.85104,10.28393,-1.17031,3.54117,-4.26074,-0.40723,-36.4785,-73.05157,966.69714,964.05713,0,963.14142,-36.5,-73,516.75861,507.63928,584.4389,584.16766,38.28714,42.72844,53.83456,51.88123,40.54124,40.21712,1.02638,1.21403, 
52.77037,57.45705,58.09354,57.87352,60.72705,66.85285,66.85285,10.27711,-1.13455,3.27825,-4.98817,-0.40525,-36.47836,-73.05157,962.66089,960.01672,0,960.26501,-36.5,-73,516.63934,507.75421,584.31293,584.0799,38.36789,42.62669,53.79541,51.86853,40.53304,40.17251,1.02947,1.20884, 
52.62347,57.5731,58.20706,57.92289,60.55801,66.98349,66.98349,10.24906,-1.13258,3.00953,-5.66394,-0.4034,-36.47823,-73.05156,958.21869,955.57037,0,956.9657,-36.5,-73,517.95721,509.07135,585.75928,585.52917,38.42414,42.67968,53.85596,51.91582,40.57563,40.17852,1.02944,1.20796, 
52.61897,57.79169,58.42373,58.07077,60.55283,67.23283,67.23283,10.20228,-1.14734,2.7186,-6.30124,-0.4035,-36.4781,-73.05155,953.19714,950.54456,0,953.09711,-36.5,-73,520.5553,511.55597,588.67358,588.42896,38.48937,42.84763,54.00047,52.03126,40.66416,40.23791,1.02787,1.20983, 
52.75874,58.11013,58.74072,58.31666,60.71367,67.59762,67.59762,10.13729,-1.16292,2.39725,-6.88884,-0.4058,-36.47797,-73.05154,947.52039,944.86328,0,948.56494,-36.5,-73,524.40759,515.21387,592.99915,592.73816,38.60277,43.08614,54.22088,52.21572,40.79194,40.34882,1.02635,1.2125, 
53.03925,58.51802,59.14754,58.65458,61.03648,68.06578,68.06577,10.05779,-1.16692,2.0453,-7.40245,-0.40915,-36.47783,-73.05154,941.23303,938.57123,0,943.37482,-36.5,-73,529.34937,519.98163,598.62659,598.35785,38.7909,43.3654,54.50466,52.47585,40.95961,40.51246,1.02621,1.21512, 
53.44555,58.98851,59.61721,59.06376,61.50404,68.60627,68.60626,9.96988,-1.15307,1.67359,-7.81322,-0.41191,-36.47769,-73.05153,934.56799,931.90143,0,937.69885,-36.5,-73,535.08063,525.60388,605.20685,604.94025,39.05853,43.64905,54.83525,52.79814,41.1592,40.7167,1.02822,1.21654, 
