  _Vind,_kias ;   _Vind,_keas ;   Vtrue,_ktas ;   Vtrue,_ktgs ;   _Vind,__mph ;   Vtrue,mphas ;   Vtrue,mphgs ;   SLprs,_inHG ;   SLtmp,_degC ;   _wind,speed ;   _wind,__dir ;   __trb,_locl ;   _prec,_locl ;   _hail,_locl ;   __lat,__deg ;   __lon,__deg ;   __alt,ftmsl ;   __alt,ftagl ;   ___on,runwy ;   __alt,__ind ;   __lat,orign ;   __lon,orign ;   __L/D,ratio ;   ___cl,total ;   ___cd,total ;   __L/D,*etaP ;   wing1,_lift ;   wing1,_lift ;   wing2,_lift ;   wing2,_lift ;   wing3,_lift ;   wing3,_lift ;   wing1,_drag ;   wing1,_drag ;   wing2,_drag ;   wing2,_drag ;   wing3,_drag ;   wing3,_drag ; 
-18.98533;1.59181;1.59313;1.59301;-21.84793;1.83334;1.83334;29.92;15;0;0;0;0;0;-36.7818;-73.06844;57.05106;0.26946;1;47.91714;-36.5;-73;10.16632;6.59856;0.64906;0.81203;8.00836;5.453;0.15971;0.17292;0.24101;-0.14265;0.22501;0.13518;0.00338;0.00372;0.00957;0.00908; 
-18.91871;1.62791;1.62927;1.62916;-21.77127;1.87493;1.87493;29.92;15;0;0;0;0;0;-36.7818;-73.06843;57.03186;0.27192;1;47.90017;-36.5;-73;9.96894;6.69863;0.67195;0.52388;8.45419;5.81209;0.1711;0.17282;0.24844;-0.14595;0.23668;0.14391;0.00364;0.00368;0.01011;0.0096; 
-18.81249;1.94249;1.94411;1.94392;-21.64903;2.23724;2.23724;29.92;15;0;0;0;0;0;-36.78179;-73.06843;57.0075;0.27113;1;47.88037;-36.5;-73;9.6992;6.94761;0.71631;0.52318;11.9796;8.2378;0.27592;0.23051;0.35419;-0.20761;0.33595;0.20413;0.0061;0.00487;0.0143;0.01356; 
-18.36257;2.68483;2.68707;2.68693;-21.13127;3.09222;3.09222;29.92;15;0;0;0;0;0;-36.78178;-73.06842;56.98237;0.27133;1;47.85624;-36.5;-73;10.36584;5.35911;0.517;0.72243;17.7197;12.24389;0.449;0.52064;0.52688;-0.29509;0.49792;0.30509;0.00954;0.01137;0.02109;0.02; 
-17.36497;3.91089;3.91414;3.91413;-19.98326;4.50431;4.50431;29.92;15;0;0;0;0;0;-36.78176;-73.06841;56.9684;0.26891;1;47.83426;-36.5;-73;10.05626;3.57284;0.35529;0.94491;24.8049;17.14915;1.00673;1.04163;0.76574;-0.40868;0.70165;0.42973;0.02166;0.02229;0.02937;0.02779; 
-15.75471;5.69903;5.70377;5.70373;-18.1302;6.56378;6.56378;29.92;15;0;0;0;0;0;-36.78175;-73.06841;56.94023;0.26761;1;47.81642;-36.5;-73;11.90661;2.39626;0.20125;1.41404;33.76714;23.54393;2.09435;2.30683;1.07002;-0.52599;0.96391;0.59734;0.04502;0.04975;0.03965;0.03747; 
-13.38347;8.17452;8.18131;8.18127;-15.40143;9.41488;9.41488;29.92;15;0;0;0;0;0;-36.78172;-73.06839;56.89259;0.2764;1;47.78513;-36.5;-73;14.25432;2.51705;0.17658;2.19264;46.57272;32.5211;1.72361;6.44073;1.47914;-0.75773;1.33942;0.83046;0.04655;0.15969;0.05424;0.05141; 
-10.13061;11.46804;11.47755;11.47723;-11.6581;13.20813;13.20812;29.92;15;0;0;0;0;0;-36.78167;-73.06837;56.81499;0.27698;1;47.73892;-36.5;-73;11.66018;1.34369;0.11524;2.30737;63.83228;45.70319;3.65453;13.8026;2.12709;-0.79264;1.87202;1.20168;0.09417;0.35657;0.07286;0.06867; 
-5.89474;15.42387;15.43665;15.43662;-6.78354;17.76418;17.76418;29.92;15;0;0;0;0;0;-36.78162;-73.06834;56.74617;0.29001;1;47.65644;-36.5;-73;12.71252;1.10524;0.08694;3.10301;82.21349;60.298;5.06611;25.09221;2.59888;-0.9016;2.42162;1.6149;0.15465;0.64887;0.09255;0.08844; 
-0.80384;19.94683;19.96336;19.96334;-0.92504;22.97342;22.97342;29.92;15;0;0;0;0;0;-36.78154;-73.06831;56.76408;0.282;1;47.61404;-36.5;-73;13.58329;0.95352;0.0702;3.9008;104.72739;77.40212;22.93437;27.87235;3.06391;-0.87758;3.13308;2.09364;0.48486;0.59286;0.115;0.11162; 
